"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL(L/h)","V2 (L)","KA","WT on CL","WT on V","Q (L/h)","V3 (L)","alag1","age on CL","bili","alt","tras","cap","age on V","keto","age on Ka","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","SIGMA(2,2)","seCL(L/h)","seV2 (L)","seKA","seWT on CL","seWT on V","seQ (L/h)","seV3 (L)","sealag1","seage on CL","sebili","sealt","setras","secap","seage on V","seketo","seage on Ka","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","seSIGMA(2,2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21"
0,1,1,1,1,1,0,0,0,0,0,0,0,3.4,125.687,FOCE_I,0:14:33,299.92,561,48961.7443750937,194.586,4433.58,0.391314,0.380553,0.462064,51.9863,1439.35,0.726992,-0.101811,-0.00804501,0.055915,0.882252,0.986121,1.66661,0.172123,1.42283,0.190088,0.59465,0.71699,0.10434,2.69559,5.4222,332.817,0.0456915,0.102673,0.0921678,5.01162,162.058,0.0220999,0.0573766,0.0388847,0.0572888,0.318317,0.0697528,0.141276,0.0206576,0.167414,0.0130548,0.0746388,0.104999,0.00450359,1.02295,NA,NA,NA,NA,0.0390393,0.0606344,0.180757,0.220202,0.265727,0.308781,0.368304,0.489925,0.520499,0.609173,0.643873,0.816069,0.845327,1.01464,1.03873,1.19695,1.25924,1.35992,1.83279,3.02271,4.90671
1,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:05:38,328.9,0,49651.7083406586,197.079,4421.02,0.32337,0.421149,0.497043,50.8247,1287.22,0.72536,-0.188369,-0.0115055,-0.053852,0.820593,0.911304,1.85468,0.148864,1.25018,0.172827,0.48808,0.626323,0.10601,3.40271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,1,1,1,0,0,0,0,0,1,0,3.7,38543800,FOCE_I,0:26:50,576.26,1025.9,49446.5355616799,196.043,4528.58,0.415227,0.438534,0.285,50.4495,1322.19,0.73837,-0.0294182,0.0537877,0.246563,1.83627,0.984667,1.89356,0.199794,1.64094,0.179744,0.481949,0.582487,0.105358,1.94657,5.36689,287.816,0.0417143,0.099548,0.104654,3.77585,110.663,0.0175897,0.0620249,0.0322933,0.10158,0.234193,0.0717846,0.15194,0.0229191,0.158573,0.0134944,0.0511644,0.0951324,0.0044735,0.959466,NA,NA,NA,NA,1.15128e-07,0.040644,0.0994282,0.201832,0.259319,0.29621,0.367657,0.403673,0.5088,0.619362,0.662396,0.691072,0.779876,0.936311,1.04414,1.08689,1.41633,1.71395,2.11884,3.31581,4.43747
3,1,1,1,1,1,0,0,0,0,0,0,0,4.3,549755000,FOCE_I,0:21:39,252.72,1035.58,48988.9604700586,190.506,4258.74,0.384082,0.43925,0.404831,52.6862,1197.29,0.762448,-0.127505,0.0534207,0.0959723,1.92857,0.989104,1.81358,0.222023,1.51584,0.190347,0.561254,0.605723,0.104655,3.94368,12.6854,432.088,0.0711025,0.241991,0.280455,3.99554,112.328,0.0192394,0.1173,0.0983951,0.273929,0.637577,0.0810481,0.171191,0.0272066,0.266422,0.0124907,0.0735611,0.0949995,0.00454845,1.25043,NA,NA,NA,NA,1.54544e-08,0.00620879,0.0150089,0.050594,0.0813844,0.0830431,0.129933,0.192115,0.301139,0.338005,0.407786,0.527163,0.671051,0.769285,0.842833,0.928124,1.11468,1.50452,1.97368,2.56734,8.4961
4,1,1,1,1,1,0,0,0,0,0,0,0,3.5,45345600,FOCE_I,0:22:00,291.8,1024.17,47290.8353969455,188.492,4161.92,0.350204,0.254399,0.565134,54.3703,1754.26,0.759717,-0.142081,-0.0218715,0.0580945,0.577843,0.931046,1.8289,0.165922,1.49176,0.163537,0.492929,0.656253,0.104402,0.58316,4.91672,259.589,0.0303186,0.0908237,0.245389,4.58191,170.166,0.0166319,0.0538561,0.0395578,0.0753876,0.0199024,0.0548388,0.186039,0.0199794,0.16278,0.0110163,0.0685108,0.0878918,0.00411988,0.278054,NA,NA,NA,NA,9.53411e-08,0.00940538,0.0907981,0.19663,0.254168,0.258648,0.270166,0.342096,0.497976,0.603089,0.657732,0.761596,0.90168,1.00794,1.05108,1.3291,1.72881,1.81102,1.97293,2.93183,4.3233
5,1,1,1,0,0,0,1,1,13,2,1,0,NA,NA,FOCE_I,0:07:39,449.05,0,49300.9902229516,180.999,4154.56,0.393171,0.371846,0.800722,54.8174,1436.72,0.700958,-0.0306601,-0.0197099,0.224884,0.882252,1.04127,1.81192,0.160325,1.55079,0.163087,0.5448,0.611565,0.106257,0.000269559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,1,0,0,0,0,1,0,0,0,0,2,NA,FOCE_I,0:18:24,1093,0,48368.2789865993,197.832,4169.96,0.322422,0.284012,0.487082,52.1074,1181.18,0.711429,-0.137471,-0.0191951,0.107206,0.551181,0.921858,1.61651,0.207058,1.27641,0.193538,0.625978,0.730473,0.108121,1.83526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:07:54,464.92,0,48874.6237732774,198.663,4580.08,0.402036,0.583568,0.3864,56.474,1476.98,0.694787,-0.00251632,-0.0434266,-0.0639232,1.28847,0.92181,1.43287,0.231935,1.19807,0.174969,0.461665,0.5916,0.108008,0.610266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,1,0,0,0,0,1,0,0,1,0,2.1,NA,FOCE_I,0:26:18,1573.85,0,48177.7086059866,204.002,4477.53,0.400475,0.284601,0.54036,52.9854,1637.67,0.727116,0.00324745,-0.0185838,0.228731,0.717322,0.985954,1.7344,0.15852,1.57581,0.207644,0.614806,0.633756,0.101457,2.10266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,1,1,0,1,0,0,0,0,0,0,3.1,NA,FOCE_I,0:23:26,341.77,1053.82,48802.9197239477,197.433,4306.86,0.393247,0.393423,0.523939,52.938,1470.87,0.707629,-0.0908738,0.0422543,-0.0126874,0.54796,0.947217,1.63996,0.177567,1.38766,0.193207,0.584498,0.778553,0.0974423,3.02444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
